species_name	tissue	thirdq	median	firstq
S. mitis	hair	0	0	0
S. mitis	saliva	0.0804745995768686	0.0440142653417928	0.00136100058524771
S. mitis	urine	0.00126263350361417	0	0
S. oralis	buccal	0.0717375663984099	0.0154632963848592	0.00692282423158418
S. oralis	hair	0	0	0
S. oralis	saliva	0.0845614797136967	0.0415601121523333	0.00189196196927364
S. oralis	urine	0.00129550915648469	0	0
S. parasanguinis	buccal	0.0163987993621357	0.00445752458436929	0.00214725356255003
S. parasanguinis	hair	0	0	0
S. parasanguinis	saliva	0.0738742955248267	0.0328861543043202	0.00109676007114577
S. parasanguinis	urine	4.01396734101063e-05	0	0
S. pneumoniae	buccal	0.0788771505271633	0.0145367093501382	0.00589636089401979
S. pneumoniae	hair	0	0	0
S. pneumoniae	saliva	0.0575111905095161	0.0258848132404022	0.00134950265813582
S. pneumoniae	urine	0.0014691404423745	0	0
S. pseudopneumoniae	buccal	0.0584367708221799	0.0116966011756852	0.004371506578567
S. pseudopneumoniae	hair	0	0	0
S. pseudopneumoniae	saliva	0.0450973182942753	0.0217135780397606	0.000522195253563202
S. pseudopneumoniae	urine	0.000678405702503578	0	0
S. rubneri	buccal	0.0257054812668739	0.00674894006217232	0.00333798673821341
S. rubneri	hair	0	0	0
S. rubneri	saliva	0.0791478835566675	0.0362050366471191	0.00128285126426972
S. rubneri	urine	0.000443643920375231	0	0
S. salivarius	buccal	0.0104708687573309	0.00306179018311514	0.00160333610643268
S. salivarius	hair	0	0	0
S. salivarius	saliva	0.0445824674521467	0.0228008496158887	0.0013413684870267
S. salivarius	urine	0.000665761636928257	0	0
S. sp. 116-D4	buccal	0.0625078296620366	0.012164174682707	0.00572387794079689
S. sp. 116-D4	hair	0	0	0
S. sp. 116-D4	saliva	0.0562488236612229	0.0234325661105547	0.00088498615443411
S. sp. 116-D4	urine	0.000828112528192324	0	0
S. sp. 1643	buccal	0.0578527371671467	0.0113951146352473	0.00542892473989126
S. sp. 1643	hair	0	0	0
S. sp. 1643	saliva	0.0594464563164967	0.0257509012292123	0.00120518260183669
S. sp. 1643	urine	0.000643417147087471	0	0
S. sp. A12	buccal	0.0231258004006448	0.00643253459151288	0.00289957601471649
S. sp. A12	hair	0	0	0
S. sp. A12	saliva	0.100204806873198	0.0404139871037957	0.00126430587575108
S. sp. A12	urine	0.000175540162343684	0	0
S. sp. LPB0220	buccal	0.0204479462518407	0.0063205585489354	0.00299928588219072
S. sp. LPB0220	hair	0	0	0
S. sp. LPB0220	saliva	0.0795898905557378	0.034940067675842	0.00128973610691823
S. sp. LPB0220	urine	0.000320190591979853	0	0
S. sp. NPS	buccal	0.0469647540828666	0.00919842778509966	0.00496163372774125
S. sp. NPS	hair	0	0	0
S. sp. NPS	saliva	0.051394848387014	0.0211705247307053	0.00106172208967343
S. sp. NPS	urine	0.000520880703379281	0	0
S. sp. oral	buccal	0.0519974031406186	0.0114344833717726	0.0052283113099259
S. sp. oral	hair	0	0	0
S. sp. oral	saliva	0.0810959501576008	0.0373497934069003	0.00178144441378457
S. sp. oral	urine	0.00102203791439773	0	0
S. viridans	buccal	0.0243053449894889	0.00745211814481648	0.00324485411160251
S. viridans	hair	0	0	0
S. viridans	saliva	0.0822565325817958	0.0387347699927938	0.00112341302482047
S. viridans	urine	0.000507369997356402	0	0
