Samples	Donor	Tissue	Total_reads	Mapped_reads	Unmapped_reads	Valid_reads	Rep_reads	Unknown	Prop_unmap_valid	Prop_unmap_rep	Prop_unmap_unkwn	Prop_tot_mapped	Prop_tot_valid	Prop_tot_rep	Prop_tot_unkwn
HEK2-C-Eh2-R1-hek-smartseq	HEK2	hek	35896135	35014787	881348	33022	348200	500126	0.0374676064392272	0.39507663261277	0.567455760948002	0.975447273083857	0.000919931909103863	0.00970020867149068	0.0139325863355484
HEK2-C-Eh2-R2-hek-illumina	HEK2	hek	14436467	13995829	440638	15326	197907	227405	0.0347813851733169	0.449137387152266	0.516081227674418	0.969477435164712	0.0010616170840137	0.013708825019307	0.0157521227319676
HEK2-C-Eh2-R2-hek-smartseq	HEK2	hek	25200022	24557566	642456	11852	273729	356875	0.0184479559689691	0.426066532182749	0.555485511848282	0.974505736542611	0.000470317049723211	0.0108622524218431	0.0141616939858227
HEK2-C-Eh2-R3-hek-illumina	HEK2	hek	8202315	8018181	184134	4344	68013	111777	0.0235915148750367	0.369366874124279	0.607041611000684	0.977550971890253	0.000529606580581214	0.00829192734002535	0.0136274941891405
HEK2-C-Eh2-R3-hek-smartseq	HEK2	hek	18995031	18478281	516750	13730	227186	275834	0.026569908079342	0.439643928398645	0.533786163522013	0.972795516890707	0.000722820615559932	0.0119602858242242	0.014521376669509
HEK2-hair-C-Eh2-R1-hek-hair	HEK2	hek	44542913	43466027	1076886	57752	490888	528246	0.0536287035025063	0.455840265357707	0.490531031139786	0.975823628777938	0.00129654744403448	0.0110205634732511	0.0118592603047762
HEK2-hair-C-Eh2-R2-hek-hair	HEK2	hek	39621805	38724475	897330	44466	388672	464192	0.0495536759051854	0.43314276798948	0.517303556105335	0.97735262187071	0.00112226083592103	0.00980954805062515	0.011715569242744
HEK2-hair-C-Eh2-R3-hek-hair	HEK2	hek	36391480	35323198	1068282	28986	524857	514439	0.0271332850314805	0.491309410811003	0.481557304157516	0.970644722336107	0.000796505116032654	0.0144225241732405	0.0141362483746196
HEK2-saliva-C-Eh2-R1-hek-saliva	HEK2	hek	34392742	33480118	912624	26356	425954	460314	0.0288793632426936	0.466735479233507	0.5043851575238	0.973464633904444	0.000766324476251414	0.0123849968112458	0.0133840448080586
HEK2-saliva-C-Eh2-R2-hek-saliva	HEK2	hek	40456205	39298925	1157280	17862	561000	578418	0.0154344670261302	0.484757362090419	0.499808170883451	0.971394252130174	0.000441514472254627	0.0138668468780005	0.014297386519571
HEK2-saliva-C-Eh2-R3-hek-saliva	HEK2	hek	31957640	31061918	895722	17338	406710	471674	0.0193564521134906	0.454058290407068	0.526585257479441	0.971971584885492	0.000542530674981006	0.0127265342497131	0.0147593501898138
HEK2-urine-C-Eh2-R1-hek-urine	HEK2	hek	37315002	36307962	1007040	35502	462857	508681	0.0352538131553861	0.459621266285351	0.505124920559263	0.973012462923089	0.000951413589633467	0.0124040459652126	0.0136320775220647
HEK2-urine-C-Eh2-R2-hek-urine	HEK2	hek	34523036	33569568	953468	29470	454309	469689	0.0309082213561441	0.476480595048811	0.492611183595045	0.972381687404318	0.000853632919190537	0.0131595900198349	0.0136050896566571
HEK2-urine-C-Eh2-R3-hek-urine	HEK2	hek	33609449	32654327	955122	27972	445568	481582	0.0292863110681149	0.466503755541177	0.504209933390708	0.97158174178934	0.000832265949971391	0.0132572241812117	0.0143287680794767
LOSQ-2ZMD-C1-Ep1-R0-buccal-buccal	2ZMD	buccal	26139542	16451218	9688324	101964	4589191	4997169	0.0105244209421568	0.47368265140596	0.515792927651883	0.629361371366032	0.00390075694516759	0.175565088324807	0.191172783363993
LOSQ-2ZMD-C1-Ep2-R0-hair-hair	2ZMD	hair	27848988	26867828	981160	370	567229	413561	0.000377104651636838	0.578120795792735	0.421502099555628	0.964768558196801	1.32859405878591e-05	0.0203680291721911	0.0148501266904205
LOSQ-2ZMD-C1-Ep3-R0-saliva-illumina	2ZMD	saliva	2548522	933138	1615384	92990	79358	1443036	0.057565260024861	0.0491263996671999	0.893308340307939	0.366148693242593	0.036487815290588	0.0311388326253413	0.566224658841478
LOSQ-2ZMD-C1-Ep3-R0-saliva-saliva	2ZMD	saliva	19424860	7807960	11616900	280294	2524743	8811863	0.0241281236818773	0.217333626010381	0.758538250307741	0.401957079742145	0.0144296535470526	0.129974836369477	0.453638430341326
LOSQ-2ZMD-C1-Ep4-R1-urine-urine	2ZMD	urine	27134826	26262068	872758	226	611388	261144	0.000258949216163014	0.700524085714482	0.299216965069355	0.967836241146341	8.32878014401124e-06	0.0225314877641006	0.00962394230941448
